county_name,candidate,value,rate_x,votes,rate_y,divisiveness,hhi,entropy,growth
Alba,Mircea Geoană,41188,0.23221252508851453,76037,0.3981036450643462,0.0916739647787673,0.284474910695658,1.5222932871752857,0.16589111997583167
Alba,Traian Băsescu,75595,0.4261946643213134,114961,0.6018963549356537,0.1295823842862384,0.284474910695658,1.5222932871752857,0.17570169061434032
Arad,Mircea Geoană,41651,0.20691008445106807,80865,0.36070655931485157,0.0914828519132416,0.29766845222891736,1.5216689067204434,0.1537964748637835
Arad,Traian Băsescu,94186,0.46788872329855935,143320,0.6392934406851484,0.1184976349059849,0.29766845222891736,1.5216689067204434,0.17140471738658902
Arges,Mircea Geoană,127978,0.4195807405561712,191679,0.5878065085926671,0.1164686605871759,0.2772994513123902,1.5186220495473068,0.16822576803649597
Arges,Traian Băsescu,76919,0.25218186706183976,134413,0.4121934914073329,0.0796394095575724,0.2772994513123902,1.5186220495473068,0.16001162434549315
Bacau,Mircea Geoană,104692,0.3516411172764036,165880,0.5302797810853664,0.1335226435318508,0.25874016192835897,1.5639089513268343,0.17863866380896282
Bacau,Traian Băsescu,83871,0.2817072187663742,146936,0.4697202189146335,0.0929002190899437,0.25874016192835897,1.5639089513268343,0.18801300014825928
Bihor,Mircea Geoană,58444,0.22196143664999413,132921,0.48353019494574334,0.1206704807452493,0.2165284530029639,1.703072175211396,0.2615687582957492
Bihor,Traian Băsescu,79183,0.30072500920978174,141976,0.5164698050542567,0.1302249777713085,0.2165284530029639,1.703072175211396,0.21574479584447492
Bistrita-Nasaud,Mircea Geoană,39496,0.2785645771031992,64001,0.407234665309239,0.1269229900036403,0.29773474275677014,1.4905812210551295,0.1286700882060398
Bistrita-Nasaud,Traian Băsescu,62225,0.4388718049991536,93159,0.592765334690761,0.1414041936666001,0.29773474275677014,1.4905812210551295,0.15389352969160736
Botosani,Mircea Geoană,78434,0.412281070625092,124834,0.6198896618846862,0.1084847713424137,0.27591372107983875,1.526791652341101,0.2076085912595942
Botosani,Traian Băsescu,45369,0.23847795462668994,76547,0.38011033811531375,0.088650077949487,0.27591372107983875,1.526791652341101,0.1416323834886238
Braila,Mircea Geoană,62287,0.38013487534710566,94493,0.5544387725165757,0.1076857358888622,0.254289045269402,1.5999354717603265,0.17430389716947003
Braila,Traian Băsescu,42688,0.2605230234048396,75937,0.4455612274834243,0.0815551663206035,0.254289045269402,1.5999354717603265,0.18503820407858468
Brasov,Mircea Geoană,60314,0.21662099407034419,132570,0.44866891841583356,0.0819795137325495,0.25058024263675593,1.6225969732727732,0.23204792434548938
Brasov,Traian Băsescu,98234,0.352812725594492,162904,0.5513310815841664,0.0979008598852475,0.25058024263675593,1.6225969732727732,0.19851835598967443
Buzau,Mircea Geoană,82933,0.37392072788591163,131082,0.5606514886464246,0.127966252840906,0.2643351533921959,1.5527096933678144,0.18673076076051293
Buzau,Traian Băsescu,62275,0.2807798262343717,102721,0.43934851135357544,0.0937353513250602,0.2643351533921959,1.5527096933678144,0.15856868511920374
Calarasi,Mircea Geoană,45085,0.32972296981043764,77068,0.5255735290106113,0.0975336898257729,0.24951258716371671,1.5794081091484036,0.19585055920017364
Calarasi,Traian Băsescu,37328,0.2729932131991575,69568,0.47442647098938867,0.0882941753579525,0.24951258716371671,1.5794081091484036,0.2014332577902312
Caras-Severin,Mircea Geoană,39880,0.28139001587581586,74037,0.47812384968582294,0.0974067449635839,0.25926507381191743,1.5704156300404954,0.19673383381000709
Caras-Severin,Traian Băsescu,50362,0.3553501499382607,80812,0.521876150314177,0.1250541893185964,0.25926507381191743,1.5704156300404954,0.1665260003759163
Cluj,Mircea Geoană,60859,0.19408549341769568,128369,0.3722210784839637,0.0988694779851644,0.25961789276345426,1.6179848738115887,0.178135585066268
Cluj,Traian Băsescu,129353,0.4125197724257577,216504,0.6277789215160363,0.1199333794071514,0.25961789276345426,1.6179848738115887,0.2152591490902786
